# 번역 표. 이 파일이 진실의 원천이다 — 여기를 고치면 게임에 그대로 반영된다.
# 형식과 키 규약은 docs/번역-체계.md 참조.
#
# Category = 화면/영역 (나중에 Unity Localization의 String Table Collection 이름이 된다)
# Key      = 그 안에서의 이름 (Entry Name)
# ko       = 기본 로케일. 이 칸은 절대 비우지 않는다 (EditMode 게이트가 잡는다).
# en 이하  = 번역. 비워 두면 ko로 폴백한다.
#
# 쉼표·따옴표·줄바꿈이 든 값은 따옴표로 감싼다 ("따옴표"는 ""로 겹쳐 쓴다).
Category,Key,ko,en
UI,craft_empty,아직 아는 제작법이 없다,
UI,build_empty,아직 아는 건축물이 없다,
UI,research_empty,아직 들여다볼 것이 없다,
UI,no_ingredients,재료 없음,No materials
UI,queue_full,(대기열이 가득 찼다),
UI,ingredients_label,재료,Materials
UI,craft_max_button,최대,Max
# ======== 여기부터 데이터 에셋 자동 생성 구역 (손으로 줄을 더하지 마라) ========
# 이 아래는 Tools/Survive/번역/데이터 에셋 초안 갱신 이 관리한다.
#   - 줄을 더하거나 지우지 마라. 에셋을 고치고 메뉴를 다시 돌려라.
#   - ko 이외의 칸은 마음껏 채워라. 도구는 그 칸을 절대 덮지 않는다.
#   - 이 구역 안의 주석도 도구가 다시 쓴다. 사람이 남길 말은 이 줄 위쪽에.
#
# ---- Blueprint ----
#   청사진 이름(.name)과 여는 방법(.hint). hint는 도감의 잠긴 줄에만 뜬다.
Blueprint,bp_alloy_shaping.hint,외계 합금을 손에 넣으면 알게 된다,
Blueprint,bp_alloy_shaping.name,합금 성형,
Blueprint,bp_fibercraft.hint,양치 섬유를 손에 넣으면 알게 된다,
Blueprint,bp_fibercraft.name,섬유 세공,
Blueprint,bp_salvaged_mechanism.hint,기계 부품을 손에 넣으면 알게 된다,
Blueprint,bp_salvaged_mechanism.name,부품 재조립,
Blueprint,bp_scrapworks.hint,스크랩을 손에 넣으면 알게 된다,
Blueprint,bp_scrapworks.name,스크랩 재활용,
Blueprint,bp_spore_filter.hint,버섯 갓을 손에 넣으면 알게 된다,
Blueprint,bp_spore_filter.name,포자 여과,
Blueprint,bp_submersible.hint,낫의 핵을 연구대에서 분석하면 알게 된다,
Blueprint,bp_submersible.name,잠항 설계,
Blueprint,bp_surface_walker.hint,낫의 막을 연구대에서 분석하면 알게 된다,
Blueprint,bp_surface_walker.name,액면 보행 설계,
#
# ---- Buildable ----
#   지을 수 있는 것의 이름. 건축 메뉴와 철거 프롬프트에 뜬다.
Buildable,bench.name,간이 제작대,
Buildable,campfire.name,화톳불,Campfire
Buildable,fence.name,울타리,
Buildable,piece_doorway.name,문간,
Buildable,piece_floor.name,바닥,
Buildable,piece_foundation.name,토대,
Buildable,piece_ramp.name,경사로,
Buildable,piece_wall.name,벽,
Buildable,research_bench.name,연구대,
Buildable,storage.name,보관함,
#
# ---- Chapter ----
#   챕터 제목.
Chapter,chapter1.title,챕터 1 · 부유섬,
#
# ---- Creature ----
#   생물 이름(.name)과 도감 관측 기록(.codex).
Creature,ball.codex,동그란 구 형태의 기계. 눈과 비슷한 소형부터 사람만 한 대형까지 여러 크기가 발견되었으며 주로 굴러다닌다. 몸체 하부의 구멍으로 죽은 기계의 잔해를 회수해 스크랩을 모은다.,
Creature,ball.name,공,
Creature,eye.codex,작은 추진기로 공중에 부양하는 드론형 기계. 몸체 전방의 큰 눈이 주 탐지기관이며 다른 탐지기관은 발견되지 않았다. 죽은 식물에 레이저를 쏘아 스크랩으로 전환하고 역장으로 연료탱크에 옮긴다. 어느 지역에나 있지만 평야에 자주 보인다.,
Creature,eye.name,눈,
Creature,fruit_crab.codex,"다리가 4개 달린 소형 기계. 앞쪽으로 튀어나온 두 눈으로 주변을 감지하며, 먹이를 먹을 때는 위쪽을 덮쳐 몸통 아래의 입으로 담아 스크랩으로 전환한다. 주로 강가에 서식한다.",
Creature,fruit_crab.name,열매게,
Creature,scythe.codex,"이족보행의 빠른 기계. 등과 어깨에서 뻗어 나온 날붙이가 실루엣을 뾰족하게 만든다. 어둠 속에서 이 윤곽을 보면 도망쳐야 한다. 매크로늄이 짙은 액면섬에서만 관측되며, 접합부의 자홍빛은 그 섬의 액체층에서 온 것으로 보인다. 밝은 곳으로는 들어오지 않는다. 랜턴을 켠 사람에게 다가온 기록이 없다.",
Creature,scythe.name,낫,
Creature,wing.codex,몸통 양측의 커다란 팬으로 이동하는 잠자리 형태의 기계. 몸체 하부의 스캔 장치가 탐지기관이다. 박쥐와 생활방식이 비슷해 작은 열매를 통째로 담아 스크랩으로 전환한다. 주로 동굴에 서식한다.,
Creature,wing.name,날개,
#
# ---- Discovery ----
#   재료를 처음 손에 넣었을 때 AI가 하는 말(.line.text).
#   화자는 우주복 AI, 기계다. 세 문장 고정:
#     [관찰된 성질] 분석... [용도 판정, "~것으로 보입니다"]. [해금 정형구].
#     아이템 이름을 되뇌지 않는다. 감탄/추측/이모지/물음 금지. 규격 원본은 DiscoverySO의 문서 주석.
#   현장 발견의 마지막 문장: "해당 물질을 사용한 제작법이 있습니다."
Discovery,disc_alien_alloy.line.speaker,우주복 AI,
#   재료를 처음 쥐었을 때의 대사. 대상 아이템: 외계 합금 (alien_alloy)
Discovery,disc_alien_alloy.line.text,미등록 결정 격자 분석... 고강도 구조재로 판단됩니다. 해당 물질을 사용한 제작법이 있습니다.,
Discovery,disc_fern_fiber.line.speaker,우주복 AI,
#   재료를 처음 쥐었을 때의 대사. 대상 아이템: 양치 섬유 (fern_fiber)
Discovery,disc_fern_fiber.line.text,유연 섬유질 분석... 결속재로 적합한 것으로 보입니다. 해당 물질을 사용한 제작법이 있습니다.,
Discovery,disc_machine_part.line.speaker,우주복 AI,
#   재료를 처음 쥐었을 때의 대사. 대상 아이템: 기계 부품 (machine_part)
Discovery,disc_machine_part.line.text,회전 축계 구조물 분석... 공구로 전용 가능한 것으로 보입니다. 해당 물질을 사용한 제작법이 있습니다.,
Discovery,disc_mushroom_cap.line.speaker,우주복 AI,
#   재료를 처음 쥐었을 때의 대사. 대상 아이템: 버섯 갓 (mushroom_cap)
Discovery,disc_mushroom_cap.line.text,다공성 포자 조직 분석... 기체 여과재로 사용 가능한 것으로 보입니다. 해당 물질을 사용한 제작법이 있습니다.,
Discovery,disc_scrap.line.speaker,우주복 AI,
#   재료를 처음 쥐었을 때의 대사. 대상 아이템: 스크랩 (scrap)
Discovery,disc_scrap.line.text,외계 금속물체 분석... 에너지로 사용가능한 것으로 보입니다. 해당 물질을 사용한 제작법이 있습니다.,
#
# ---- Harvest ----
#   채집물 이름. 키는 에셋 이름에서 만든다(id 필드가 없다).
Harvest,debris.name,기계 잔해,
Harvest,loose_scrap.name,흩어진 잔해,
Harvest,mushroom.name,발광 버섯,
Harvest,ore_vein.name,매크로늄 광맥,
#
# ---- Item ----
#   아이템 이름(.name)과 설명(.desc). 설명은 소지품 쪽지에 뜬다.
Item,alien_alloy.desc,화성인이 만든 합금. 포탈 기동에 쓰인다.,
Item,alien_alloy.name,외계 합금,
Item,axe.desc,거대 버섯을 베는 도구. 돌은 이것으로 깨지지 않는다.,
Item,axe.name,도끼,
